work,hot,cold,trial,time(s),hot_column_key,default_column_key,rocksdb.flush.write.bytes,rocksdb.compact.write.bytes,rocksdb.bytes.written,rocksdb.number.keys.read,rocksdb.bytes.read,rocksdb.block.cache.hit,rocksdb.block.cache.miss,rocksdb.memtable.hit,rocksdb.memtable.miss,rocksdb.db.get.micros,rocksdb.db.write.micros,rocksdb.db.seek.micros,rocksdb.compaction.total.time.cpu_micros,rocksdb.bytes.compressed.from,rocksdb.bytes.compressed.to,get.P50,get.P95,get.P99,get.P100,get.COUNT,get.SUM,get.AVG,write.P50,write.P95,write.P99,write.P100,write.COUNT,write.SUM,write.AVG,WAF,RAF,cache_hit_ratio,memtable_hit_ratio,throughput,compression_ratio,case
read,Snappy,ZSTD,2,15.059,678757,0,0,628342,0,1000000,12670992384,1242221,1981759,0,1000000,0,0,0,0,62069365,607376,9.139023,30.367866,33.919554,793.0,1000000,13844251,13.844251,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.29303210857332,0.3853066706369146,0.0,0.0,0.978543924204799,6
write,none,Zlib,2,533.634,0,249614,11295455460,28462039953,16407311314,1805973,7268614144,18677506,3564302,7715,1798258,0,0,0,68512408,15447879794,62210878,7.657678,32.538799,50.443843,817.0,1805973,20774067,11.502977619266732,8.413768,14.46788,43.254323,9011172.0,1000000,532104818,532.104818,2.423157253015355,4.070798235510243,0.8397476500111861,0.004271935405457335,30746375.44459311,0.4027146691299532,3
write,LZ4,Zlib,1,267.916,0,250140,101475451,468419228,16407311056,1805990,7276953600,6420021,5673870,3775,1802215,0,0,0,94893223,91415819627,541788390,2.680489,24.354823,42.627332,792.0,1805990,12001374,6.645315865536354,8.566139,14.267331,25.07173,5618749.0,1000000,266228986,266.228986,0.03473419118189966,4.066171338511764,0.5308482604978001,0.002090266280544189,61240504.69550157,0.5926637120474724,1
write,Snappy,ZSTD,1,220.586,0,250473,578996990,3066341831,16407311889,1806087,7280820224,4098299,6065932,3772,1802315,0,0,0,58465301,97330768319,3615392378,1.635306,13.560951,21.811389,769.0,1806087,7437642,4.118097300960585,8.677272,14.61915,32.0,5140830.0,1000000,219062894,219.062894,0.2221777001413592,4.06423019627081,0.40320797510406836,0.00208849296850041,74380567.6198852,3.714542112881109,6
write,Snappy,ZSTD,2,180.184,0,250735,578986449,3062552888,16407311730,1805927,7287734272,4977542,5831815,3779,1802148,0,0,0,55151634,93652904112,3612717771,2.129639,13.436473,21.034901,783.0,1805927,7758380,4.296065123341087,8.390966,13.782496,18.949625,2687232.0,1000000,178778487,178.778487,0.22194612968446356,4.060014658009748,0.46048455981239217,0.002092554128710629,91058649.65812725,3.8575608575677824,6
write,LZ4,Zlib,3,201.914,0,249712,101472308,410441853,16407310624,1806000,7269777408,5316834,5180412,3776,1802224,0,0,0,93315979,83240077310,486302770,2.374124,19.857951,32.965229,959.0,1806000,11118533,6.15644130675526,8.492793,14.013823,18.904776,3265819.0,1000000,200321007,200.321007,0.031200369928462934,4.07020770229338,0.5064979900442459,0.002090808416389812,81258905.39536636,0.5842171051678952,1
read,none,Zlib,1,44.789,678658,0,0,3598849925,0,1000000,12656820224,814795,5729859,0,1000000,0,0,0,4596047,439648854,1790689,45.857342,102.261858,147.702431,856.0,1000000,43343652,43.343652,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2944799491528276,0.12449779621657615,0.0,0.0,0.40729982205298776,3
read,none,Zlib,2,42.777,679556,0,0,3086175371,0,1000000,12663570432,237346,4090491,0,1000000,0,0,0,5440245,762866858,3113704,17.975689,138.738602,164.067882,1079.0,1000000,41335900,41.3359,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2937899376781388,0.054841714232768006,0.0,0.0,0.4081582477135217,3
read,LZ4,ZSTD,3,12.914,680621,0,0,256919,0,1000000,12684460032,1187100,2015641,0,1000000,0,0,0,0,62035857,235966,8.384019,30.290217,33.849701,821.0,1000000,11684504,11.684504,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.291659239626039,0.37065126402665716,0.0,0.0,0.38037033968918976,2
read,none,ZSTD,3,20.964,678246,0,0,2157055764,0,1000000,12649578496,657846,3671688,0,1000000,0,0,0,1776471,47894597,161135,17.113664,45.694039,59.166735,775.0,1000000,19524937,19.524937,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2952210229914685,0.15194383506400458,0.0,0.0,0.33643669660692627,4
read,none,Zlib,3,38.164,679093,0,0,1862676064,0,1000000,12656771072,916066,5137652,0,1000000,0,0,0,17244879,4120062282,15461602,33.81952,95.154714,155.674534,826.0,1000000,36741239,36.741239,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2944849762073662,0.15132287298483346,0.0,0.0,0.3752759288991739,3
read,Snappy,Zlib,3,32.704,678317,0,0,887667,0,1000000,12658491392,1301374,2434934,0,1000000,0,0,0,0,62053024,866706,22.690169,93.732416,108.439571,864.0,1000000,31507389,31.507389,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2943090525269443,0.34830479714199153,0.0,0.0,1.3967183936112446,5
write,LZ4,ZSTD,3,236.236,0,250615,97797195,474219095,16407310467,1806022,7284211712,4544337,5854402,3777,1802245,0,0,0,41680106,94019919329,543116276,1.967785,9.727489,14.920553,80.0,1806022,6776467,3.752150859734821,8.448787,14.07533,26.524725,3324370.0,1000000,234779240,234.77924,0.034863501312448225,4.062191712420123,0.43700846804598137,0.002091336650384104,69453048.92988367,0.5776608615239243,2
write,none,Zlib,1,839.996,0,250559,11295733867,28984328526,16407310738,1806094,7282114560,20701923,3754968,3775,1802319,0,0,0,82272638,18745938986,74924336,8.052782,31.039961,41.428188,803.0,1806094,21360165,11.826718321416273,8.780079,28.120656,51.648703,15792446.0,1000000,838017720,838.01772,2.4550069804986223,4.063523562035256,0.8464658488276372,0.0020901459171006605,19532605.795741886,0.3996830249792001,3
read,LZ4,Zlib,3,32.779,678964,0,0,326961,0,1000000,12651298816,1215609,3375128,0,1000000,0,0,0,0,62018935,306013,21.182845,92.783376,108.146788,850.0,1000000,31565146,31.565146,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2950448992066554,0.2647960447309441,0.0,0.0,0.49341866318729916,1
write,none,Zlib,3,541.673,0,250109,11294850123,28671006792,16407311435,1806011,7276101632,19891144,3632083,7719,1798292,0,0,0,72749537,16586167158,66886807,7.902638,32.60534,50.342637,790.0,1806011,21645747,11.985390454432448,8.328988,13.583973,19.558032,9493847.0,1000000,540084395,540.084395,2.435856543183853,4.066694738548699,0.8455958869928858,0.004274060346254813,30290066.94998643,0.40326861753433196,3
read,LZ4,Zlib,1,40.358,679819,0,0,332663,0,1000000,12665323520,1250950,3722351,0,1000000,0,0,0,0,62002479,311718,22.51137,109.817703,158.124987,915.0,1000000,39040076,39.040076,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2936108559823034,0.25153313664304655,0.0,0.0,0.5027508658161878,1
write,none,ZSTD,3,496.992,0,249947,11293697474,28630139347,16407311218,1805983,7273906176,9665494,3635828,3772,1802211,0,0,0,38882048,18105639363,59297775,4.730651,13.124705,21.375679,795.0,1805983,10146604,5.618327525785126,8.494503,14.118244,25.359677,7316475.0,1000000,495493315,495.493315,2.4332955162818317,4.0678591056932545,0.7266566436027938,0.0020886132372231634,33013230.02784753,0.32750997526869274,4
read,none,ZSTD,1,22.138,679586,0,0,1645216581,0,1000000,12667944960,1250832,3785694,0,1000000,0,0,0,1456483,46695586,157064,20.034164,33.647203,46.785827,815.0,1000000,20614659,20.614659,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.29334316274137,0.24835213796176173,0.0,0.0,0.3363572736832128,4
write,Snappy,Snappy,1,234.981,0,249944,803879736,3809431422,16407311406,1805931,7274708992,6406672,5781933,5030,1800901,0,0,0,57082035,93008353750,4584684446,3.00586,14.663067,21.908086,802.0,1805931,9546053,5.285945587068388,8.506973,14.352917,32.187801,4209739.0,1000000,233529423,233.529423,0.28117410853267255,4.067293074752316,0.5256279943438974,0.002785266989713339,69823991.75252467,4.929325443522325,0
read,Snappy,Snappy,3,18.913,678674,0,0,3093595,0,1000000,12653805568,1162824,2025128,0,1000000,0,0,0,0,62056292,3072628,9.452199,46.592771,62.517001,787.0,1000000,17727709,17.727709,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2947883474227886,0.36475580560811455,0.0,0.0,4.951356101005842,0
read,LZ4,ZSTD,1,17.474,679087,0,0,314149,0,1000000,12655280128,1291130,2844070,0,1000000,0,0,0,0,61969355,293214,15.613969,31.033868,37.423549,792.0,1000000,16328745,16.328745,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.2946374820854538,0.31222915457535305,0.0,0.0,0.473159677069416,2
write,LZ4,Zlib,2,166.549,0,250011,101491234,460151752,16407311570,1805932,7275790336,10568671,5715562,3776,1802156,0,0,0,100721042,90954479582,533678132,4.912169,26.88818,43.893717,886.0,1805932,14719928,8.150876112721852,8.493881,14.147578,27.834838,2636922.0,1000000,165056572,165.056572,0.034231262300579324,4.066690836540345,0.649012514129465,0.0020908871430375007,98513419.89444548,0.5867529938631143,1
write,Snappy,Snappy,3,272.591,0,250298,803862648,3856983093,16407311133,1806191,7276249088,5230841,5852240,3778,1802413,0,0,0,58275573,93963060474,4631924280,2.242992,14.367537,23.109584,780.0,1806191,8655734,4.792258404565187,8.54793,14.60956,32.161673,4627898.0,1000000,271054977,271.054977,0.28407127183842135,4.06701763313796,0.4719663241656359,0.00209169462144369,60190215.86552747,4.929516191399145,0
write,Snappy,Snappy,2,224.189,0,250717,804015593,3784357710,16407310457,1806081,7284916224,8287882,5744548,3778,1802303,0,0,0,56615086,92477145645,4559902980,3.321859,15.939533,26.609575,797.0,1806081,10640890,5.891701424243984,8.530086,14.299913,26.874242,3621546.0,1000000,222644205,222.644205,0.2796542014015722,4.061931557498718,0.5906234344301022,0.002091822016841991,73185171.69441855,4.9308431269110455,0
