Ops Sequence
100
200
300
400
500
600
700
800
900
1000
1500
2000
2500
3000
3500
4000
4500
5000
6000
7000
8000
9000
10000
15000
20000
25000
30000
35000
40000
45000
50000
60000
70000
80000
90000
100000

Stat Name,Count
rocksdb.l0.hit,0
rocksdb.l1.hit,0
rocksdb.l2andup.hit,0
rocksdb.compaction.key.drop.new,0
rocksdb.compaction.key.drop.obsolete,0
rocksdb.compaction.key.drop.range_del,0
rocksdb.compaction.key.drop.user,0
rocksdb.compaction.range_del.drop.obsolete,0
rocksdb.compaction.optimized.del.drop.obsolete,0
rocksdb.compaction.cancelled,0
rocksdb.number.keys.written,100000
rocksdb.number.keys.read,0
rocksdb.number.keys.updated,0
rocksdb.bytes.written,28800000
rocksdb.bytes.read,0
rocksdb.number.db.seek,0
rocksdb.number.db.next,0
rocksdb.number.db.prev,0
rocksdb.number.db.seek.found,0
rocksdb.number.db.next.found,0
rocksdb.number.db.prev.found,0
rocksdb.db.iter.bytes.read,0
rocksdb.number.iter.skip,0
rocksdb.number.reseeks.iteration,0
rocksdb.num.iterator.created,0
rocksdb.num.iterator.deleted,0
rocksdb.no.file.opens,0
rocksdb.no.file.errors,0
rocksdb.stall.micros,0
rocksdb.db.mutex.wait.micros,0
rocksdb.number.multiget.get,0
rocksdb.number.multiget.keys.read,0
rocksdb.number.multiget.bytes.read,0
rocksdb.number.multiget.keys.found,0
rocksdb.number.merge.failures,0
rocksdb.getupdatessince.calls,0
rocksdb.wal.synced,0
rocksdb.wal.bytes,28800000
rocksdb.write.self,100000
rocksdb.write.other,0
rocksdb.write.wal,100000
rocksdb.compact.read.bytes,0
rocksdb.compact.write.bytes,0
rocksdb.flush.write.bytes,0
rocksdb.compact.read.marked.bytes,0
rocksdb.compact.read.periodic.bytes,0
rocksdb.compact.read.ttl.bytes,0
rocksdb.compact.write.marked.bytes,0
rocksdb.compact.write.periodic.bytes,0
rocksdb.compact.write.ttl.bytes,0
rocksdb.number.direct.load.table.properties,0
rocksdb.number.superversion_acquires,0
rocksdb.number.superversion_releases,0
rocksdb.number.superversion_cleanups,0
rocksdb.number.block.compressed,0
rocksdb.number.block.decompressed,0
rocksdb.bytes.compressed.from,0
rocksdb.bytes.compressed.to,0
rocksdb.bytes.compression_bypassed,0
rocksdb.bytes.compression.rejected,0
rocksdb.number.block_compression_bypassed,0
rocksdb.number.block_compression_rejected,0
rocksdb.bytes.decompressed.from,0
rocksdb.bytes.decompressed.to,0
rocksdb.merge.operation.time.nanos,0
rocksdb.filter.operation.time.nanos,0
rocksdb.compaction.total.time.cpu_micros,0
rocksdb.row.cache.hit,0
rocksdb.row.cache.miss,0
rocksdb.read.amp.estimate.useful.bytes,0
rocksdb.read.amp.total.read.bytes,0
rocksdb.number.rate_limiter.drains,0
rocksdb.blobdb.num.put,0
rocksdb.blobdb.num.write,0
rocksdb.blobdb.num.get,0
rocksdb.blobdb.num.multiget,0
rocksdb.blobdb.num.seek,0
rocksdb.blobdb.num.next,0
rocksdb.blobdb.num.prev,0
rocksdb.blobdb.num.keys.written,0
rocksdb.blobdb.num.keys.read,0
rocksdb.blobdb.bytes.written,0
rocksdb.blobdb.bytes.read,0
rocksdb.blobdb.write.inlined,0
rocksdb.blobdb.write.inlined.ttl,0
rocksdb.blobdb.write.blob,0
rocksdb.blobdb.write.blob.ttl,0
rocksdb.blobdb.blob.file.bytes.written,0
rocksdb.blobdb.blob.file.bytes.read,0
rocksdb.blobdb.blob.file.synced,0
rocksdb.blobdb.blob.index.expired.count,0
rocksdb.blobdb.blob.index.expired.size,0
rocksdb.blobdb.blob.index.evicted.count,0
rocksdb.blobdb.blob.index.evicted.size,0
rocksdb.blobdb.gc.num.files,0
rocksdb.blobdb.gc.num.new.files,0
rocksdb.blobdb.gc.failures,0
rocksdb.blobdb.gc.num.keys.relocated,0
rocksdb.blobdb.gc.bytes.relocated,0
rocksdb.blobdb.fifo.num.files.evicted,0
rocksdb.blobdb.fifo.num.keys.evicted,0
rocksdb.blobdb.fifo.bytes.evicted,0
rocksdb.blobdb.cache.miss,0
rocksdb.blobdb.cache.hit,0
rocksdb.blobdb.cache.add,0
rocksdb.blobdb.cache.add.failures,0
rocksdb.blobdb.cache.bytes.read,0
rocksdb.blobdb.cache.bytes.write,0
rocksdb.txn.overhead.mutex.prepare,0
rocksdb.txn.overhead.mutex.old.commit.map,0
rocksdb.txn.overhead.duplicate.key,0
rocksdb.txn.overhead.mutex.snapshot,0
rocksdb.txn.get.tryagain,0
rocksdb.files.marked.trash,0
rocksdb.files.marked.trash.deleted,0
rocksdb.files.deleted.immediately,0
rocksdb.error.handler.bg.error.count,0
rocksdb.error.handler.bg.io.error.count,0
rocksdb.error.handler.bg.retryable.io.error.count,0
rocksdb.error.handler.autoresume.count,0
rocksdb.error.handler.autoresume.retry.total.count,0
rocksdb.error.handler.autoresume.success.count,0
rocksdb.memtable.payload.bytes.at.flush,0
rocksdb.memtable.garbage.bytes.at.flush,0
rocksdb.verify_checksum.read.bytes,0
rocksdb.backup.read.bytes,0
rocksdb.backup.write.bytes,0
rocksdb.remote.compact.read.bytes,0
rocksdb.remote.compact.write.bytes,0
rocksdb.hot.file.read.bytes,0
rocksdb.warm.file.read.bytes,0
rocksdb.cold.file.read.bytes,0
rocksdb.hot.file.read.count,0
rocksdb.warm.file.read.count,0
rocksdb.cold.file.read.count,0
rocksdb.last.level.read.bytes,0
rocksdb.last.level.read.count,0
rocksdb.non.last.level.read.bytes,0
rocksdb.non.last.level.read.count,0
rocksdb.last.level.seek.filtered,0
rocksdb.last.level.seek.filter.match,0
rocksdb.last.level.seek.data,0
rocksdb.last.level.seek.data.useful.no.filter,0
rocksdb.last.level.seek.data.useful.filter.match,0
rocksdb.non.last.level.seek.filtered,0
rocksdb.non.last.level.seek.filter.match,0
rocksdb.non.last.level.seek.data,0
rocksdb.non.last.level.seek.data.useful.no.filter,0
rocksdb.non.last.level.seek.data.useful.filter.match,0
rocksdb.block.checksum.compute.count,0
rocksdb.block.checksum.mismatch.count,0
rocksdb.multiget.coroutine.count,0
rocksdb.read.async.micros,0
rocksdb.async.read.error.count,0
rocksdb.table.open.prefetch.tail.miss,0
rocksdb.table.open.prefetch.tail.hit,0
rocksdb.timestamp.filter.table.checked,0
rocksdb.timestamp.filter.table.filtered,0
rocksdb.readahead.trimmed,0
rocksdb.fifo.max.size.compactions,0
rocksdb.fifo.ttl.compactions,0
rocksdb.prefetch.bytes,0
rocksdb.prefetch.bytes.useful,0
rocksdb.prefetch.hits,0
rocksdb.footer.corruption.count,0
rocksdb.file.read.corruption.retry.count,0
rocksdb.file.read.corruption.retry.success.count,0
